epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2136.88,1.02635,0.6018,1.08219,0.92683,0.87908,0.92989,0.62232,1.03399,0.55089,1.10029,0.007921,0.007921,0.007921
44,2185.89,1.02421,0.61048,1.08085,0.92604,0.89844,0.94257,0.64098,1.01343,0.52376,1.09246,0.0078715,0.0078715,0.0078715
45,2233.9,1.02547,0.60276,1.08798,0.9333,0.90183,0.94351,0.64411,1.02346,0.51051,1.09882,0.007822,0.007822,0.007822
46,2283.28,1.02653,0.60719,1.08371,0.9411,0.88712,0.9412,0.63488,1.02069,0.52416,1.0991,0.0077725,0.0077725,0.0077725
47,2333.07,1.0121,0.59455,1.07319,0.94806,0.90353,0.94815,0.64035,1.02544,0.51243,1.09265,0.007723,0.007723,0.007723
48,2382.83,1.01853,0.5991,1.08014,0.93632,0.89031,0.94246,0.64096,1.02962,0.52077,1.09299,0.0076735,0.0076735,0.0076735
49,2431.88,1.01294,0.59553,1.07687,0.93353,0.90143,0.94334,0.64201,1.01908,0.52779,1.09481,0.007624,0.007624,0.007624
50,2481.88,1.01229,0.59279,1.07701,0.93758,0.89604,0.94693,0.64754,1.00852,0.51562,1.08732,0.0075745,0.0075745,0.0075745
51,2532.09,1.01404,0.59482,1.07557,0.93483,0.90217,0.94548,0.64229,1.01192,0.52125,1.09432,0.007525,0.007525,0.007525
52,2582.11,1.00498,0.58399,1.07389,0.93626,0.90528,0.95191,0.65252,1.00078,0.5027,1.07904,0.0074755,0.0074755,0.0074755
53,2631.57,1.00216,0.5815,1.06796,0.94122,0.90681,0.9486,0.65114,1.00393,0.50065,1.07657,0.007426,0.007426,0.007426
54,2680.89,0.99706,0.57234,1.06388,0.94471,0.9076,0.95075,0.65212,0.99909,0.49342,1.07819,0.0073765,0.0073765,0.0073765
55,2731.05,0.99631,0.57539,1.0639,0.94316,0.90208,0.9516,0.65298,0.99651,0.49444,1.07741,0.007327,0.007327,0.007327
56,2780.83,1.00588,0.57864,1.06928,0.94895,0.90174,0.95374,0.65347,0.987,0.49735,1.07617,0.0072775,0.0072775,0.0072775
57,2830.54,1.00526,0.58305,1.07098,0.93833,0.90413,0.95035,0.65254,0.99619,0.49814,1.08023,0.007228,0.007228,0.007228
58,2880.65,0.99737,0.57674,1.069,0.94182,0.91671,0.95453,0.65078,0.99735,0.5034,1.08278,0.0071785,0.0071785,0.0071785
59,2930.77,0.99654,0.57759,1.06567,0.94468,0.91256,0.95361,0.65362,0.99433,0.49207,1.07926,0.007129,0.007129,0.007129
60,2980.64,0.98567,0.56603,1.06034,0.94535,0.90165,0.94972,0.65172,0.9965,0.49111,1.08037,0.0070795,0.0070795,0.0070795
61,3031.48,0.98785,0.57116,1.06339,0.94635,0.91628,0.95424,0.65884,0.98352,0.48689,1.07454,0.00703,0.00703,0.00703
62,3081.22,0.99025,0.56719,1.06378,0.9372,0.92415,0.95446,0.65684,0.99,0.48243,1.07844,0.0069805,0.0069805,0.0069805
63,3130.63,0.98895,0.56365,1.06249,0.93977,0.91394,0.95349,0.64992,0.99486,0.49102,1.07848,0.006931,0.006931,0.006931
64,3180.67,0.98131,0.55681,1.05824,0.94772,0.91667,0.9538,0.6602,0.98876,0.47887,1.07348,0.0068815,0.0068815,0.0068815
65,3230.53,0.9781,0.55514,1.05606,0.94579,0.91345,0.95397,0.65752,0.98768,0.47698,1.07589,0.006832,0.006832,0.006832
66,3279.25,0.97985,0.55908,1.05594,0.94454,0.91565,0.95629,0.65753,0.98737,0.47758,1.07446,0.0067825,0.0067825,0.0067825
67,3327.34,0.97531,0.55392,1.05713,0.94473,0.91869,0.95776,0.65992,0.99455,0.47728,1.07469,0.006733,0.006733,0.006733
68,3376.26,0.97081,0.55135,1.05085,0.94528,0.91294,0.95701,0.6625,0.98534,0.47232,1.07438,0.0066835,0.0066835,0.0066835
69,3424.82,0.97556,0.55663,1.05268,0.94739,0.91377,0.95735,0.66069,0.98655,0.4725,1.06966,0.006634,0.006634,0.006634
70,3473.47,0.97764,0.54911,1.05515,0.94964,0.91402,0.9555,0.66338,0.98446,0.47114,1.0764,0.0065845,0.0065845,0.0065845
71,3521.14,0.96327,0.54484,1.05121,0.94366,0.92057,0.95468,0.66205,0.9743,0.46977,1.06965,0.006535,0.006535,0.006535
72,3570.42,0.96813,0.5494,1.05081,0.9475,0.91128,0.9558,0.66265,0.98075,0.46824,1.07026,0.0064855,0.0064855,0.0064855
73,3619.57,0.97081,0.54909,1.05589,0.94739,0.92267,0.95614,0.66386,0.97567,0.47259,1.07,0.006436,0.006436,0.006436
74,3667.07,0.96558,0.55005,1.05467,0.94967,0.91949,0.95925,0.67034,0.97589,0.46637,1.07078,0.0063865,0.0063865,0.0063865
75,3715.54,0.96222,0.54743,1.05007,0.94996,0.92515,0.96004,0.67001,0.96961,0.45891,1.07005,0.006337,0.006337,0.006337
76,3764.23,0.96098,0.54467,1.05054,0.9476,0.92467,0.95977,0.6692,0.97055,0.46702,1.06616,0.0062875,0.0062875,0.0062875
77,3812.69,0.96346,0.54666,1.0508,0.94724,0.91956,0.95896,0.67004,0.97078,0.46439,1.06603,0.006238,0.006238,0.006238
78,3861.2,0.96477,0.54183,1.05004,0.9548,0.92233,0.96187,0.67111,0.96926,0.46002,1.06339,0.0061885,0.0061885,0.0061885
79,3910.47,0.95597,0.54468,1.04499,0.94767,0.91729,0.95876,0.66988,0.96819,0.46367,1.06195,0.006139,0.006139,0.006139
80,3959.81,0.95676,0.54128,1.0483,0.94146,0.92435,0.95665,0.66698,0.96968,0.46617,1.06466,0.0060895,0.0060895,0.0060895
81,4007.77,0.95051,0.5348,1.04611,0.94826,0.92299,0.95929,0.66873,0.96908,0.457,1.06566,0.00604,0.00604,0.00604
82,4056.48,0.95539,0.53498,1.04509,0.95038,0.91942,0.95676,0.66929,0.96614,0.45749,1.0616,0.0059905,0.0059905,0.0059905
83,4105.34,0.95988,0.53618,1.04602,0.95339,0.91989,0.95799,0.66976,0.96888,0.45733,1.0624,0.005941,0.005941,0.005941
84,4154.57,0.9456,0.53001,1.04247,0.94819,0.92226,0.96056,0.66798,0.97177,0.46513,1.06778,0.0058915,0.0058915,0.0058915
85,4202.69,0.94639,0.52974,1.04265,0.94951,0.92687,0.96017,0.67038,0.96486,0.46055,1.06193,0.005842,0.005842,0.005842
86,4251.96,0.94504,0.53316,1.04485,0.94644,0.92903,0.96245,0.67325,0.96412,0.4561,1.06378,0.0057925,0.0057925,0.0057925
87,4302.24,0.9421,0.52421,1.03942,0.95464,0.92815,0.96275,0.67265,0.96539,0.45793,1.0625,0.005743,0.005743,0.005743
