epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,839.463,1.19746,0.71365,1.12061,0.82618,0.76547,0.80607,0.47813,1.26837,0.70112,1.18962,0.000990365,0.000990365,0.000990365
43,859.413,1.18215,0.71335,1.12509,0.83163,0.74662,0.80864,0.48423,1.2608,0.69463,1.17789,0.000973861,0.000973861,0.000973861
44,879.274,1.17913,0.70908,1.12514,0.84453,0.75821,0.80686,0.47228,1.26869,0.69834,1.1822,0.000957358,0.000957358,0.000957358
45,899.18,1.17479,0.69535,1.12298,0.83829,0.77036,0.82349,0.49762,1.24365,0.66927,1.17115,0.000940855,0.000940855,0.000940855
46,919.235,1.1457,0.68231,1.11202,0.79124,0.78472,0.80657,0.49221,1.23556,0.68037,1.16667,0.000924352,0.000924352,0.000924352
47,938.99,1.15897,0.69061,1.1182,0.85294,0.79613,0.83179,0.50655,1.22618,0.66642,1.16163,0.000907848,0.000907848,0.000907848
48,958.995,1.15688,0.68182,1.1188,0.85108,0.75795,0.82038,0.4937,1.26597,0.68171,1.18557,0.000891345,0.000891345,0.000891345
49,979.169,1.14033,0.67236,1.10839,0.83469,0.7627,0.80463,0.489,1.25403,0.6773,1.17776,0.000874842,0.000874842,0.000874842
50,999.093,1.16156,0.68449,1.11404,0.83933,0.79028,0.83469,0.5032,1.23534,0.66827,1.16571,0.000858338,0.000858338,0.000858338
51,1018.84,1.14215,0.66341,1.10992,0.84669,0.76588,0.83009,0.50453,1.25242,0.66416,1.1676,0.000841835,0.000841835,0.000841835
52,1038.84,1.15353,0.67436,1.10384,0.82154,0.77643,0.81458,0.49326,1.25044,0.65967,1.17671,0.000825332,0.000825332,0.000825332
53,1058.69,1.1446,0.66136,1.10582,0.84583,0.77819,0.82886,0.5014,1.23623,0.65256,1.16798,0.000808828,0.000808828,0.000808828
54,1078.51,1.13253,0.65101,1.10171,0.88189,0.77798,0.82906,0.50888,1.24707,0.64932,1.16575,0.000792325,0.000792325,0.000792325
