epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1688,1.48058,2.25183,1.38725,0.708,0.60011,0.65482,0.35566,1.42328,1.76829,1.33885,0.00330532,0.00330532,0.00330532
2,80.1402,1.37622,1.2213,1.2627,0.67408,0.63902,0.65275,0.36124,1.42325,1.44423,1.31788,0.00660579,0.00660579,0.00660579
3,117.683,1.37882,1.16861,1.24519,0.49743,0.49407,0.46964,0.22843,1.59962,1.90481,1.48099,0.00987327,0.00987327,0.00987327
4,155.403,1.44281,1.19297,1.28483,0.6166,0.55896,0.59799,0.33718,1.51047,1.36033,1.35232,0.0098515,0.0098515,0.0098515
5,192.571,1.40752,1.118,1.26248,0.7042,0.66158,0.69116,0.39718,1.43156,1.14446,1.31802,0.009802,0.009802,0.009802
6,229.743,1.3989,1.08527,1.25621,0.64983,0.55677,0.63766,0.35703,1.48408,1.26872,1.31479,0.0097525,0.0097525,0.0097525
7,266.944,1.38425,1.03558,1.24975,0.72317,0.66534,0.70806,0.41449,1.34419,1.21262,1.28816,0.009703,0.009703,0.009703
8,303.894,1.35015,0.985,1.2273,0.80827,0.72816,0.78221,0.45275,1.30792,0.98207,1.23675,0.0096535,0.0096535,0.0096535
9,341.248,1.33291,0.97056,1.22213,0.72774,0.70281,0.72837,0.4423,1.2858,0.94039,1.23152,0.009604,0.009604,0.009604
10,378.37,1.31054,0.91976,1.20238,0.79717,0.74446,0.79212,0.47257,1.27958,0.89976,1.22687,0.0095545,0.0095545,0.0095545
11,415.528,1.29249,0.90596,1.19825,0.82184,0.75892,0.81759,0.4921,1.24346,0.8583,1.19127,0.009505,0.009505,0.009505
12,452.502,1.28449,0.8814,1.19327,0.78283,0.75656,0.77684,0.46502,1.27098,0.83722,1.21951,0.0094555,0.0094555,0.0094555
13,489.749,1.27646,0.87331,1.18517,0.82166,0.73916,0.80524,0.48305,1.27543,0.83165,1.20124,0.009406,0.009406,0.009406
14,526.601,1.27738,0.86029,1.1919,0.82396,0.70446,0.77465,0.45353,1.2971,0.99796,1.23159,0.0093565,0.0093565,0.0093565
15,563.326,1.26964,0.85579,1.18174,0.84884,0.77691,0.83197,0.51496,1.1943,0.79002,1.17398,0.009307,0.009307,0.009307
16,600.373,1.24994,0.83622,1.17546,0.81658,0.75116,0.81226,0.49848,1.24135,0.81107,1.18249,0.0092575,0.0092575,0.0092575
17,637.688,1.23952,0.8284,1.16742,0.83277,0.7766,0.82768,0.50811,1.20832,0.79614,1.16899,0.009208,0.009208,0.009208
18,674.762,1.23109,0.81219,1.15815,0.8195,0.78581,0.84193,0.50802,1.23147,0.81286,1.19282,0.0091585,0.0091585,0.0091585
19,711.793,1.23282,0.80366,1.1615,0.85457,0.79941,0.84987,0.51654,1.20658,0.80622,1.17632,0.009109,0.009109,0.009109
20,748.878,1.21887,0.78984,1.156,0.84107,0.79384,0.84389,0.52602,1.18423,0.739,1.16938,0.0090595,0.0090595,0.0090595
21,785.893,1.21453,0.78549,1.15267,0.84195,0.79577,0.85041,0.52979,1.19308,0.71917,1.1639,0.00901,0.00901,0.00901
22,822.664,1.2014,0.7758,1.14504,0.85835,0.79836,0.85307,0.53094,1.18629,0.74651,1.1749,0.0089605,0.0089605,0.0089605
23,860.033,1.1983,0.77799,1.14356,0.86325,0.82351,0.88004,0.5493,1.16283,0.70993,1.14621,0.008911,0.008911,0.008911
24,897.172,1.18262,0.7653,1.14065,0.85558,0.8258,0.87627,0.55012,1.15955,0.70034,1.14787,0.0088615,0.0088615,0.0088615
25,934.154,1.18348,0.74509,1.13145,0.88181,0.81615,0.87242,0.55661,1.14138,0.68573,1.14009,0.008812,0.008812,0.008812
26,971.168,1.17544,0.74781,1.13678,0.85765,0.82097,0.87854,0.5506,1.16066,0.68921,1.14906,0.0087625,0.0087625,0.0087625
27,1008.21,1.19403,0.75957,1.13697,0.8658,0.83712,0.8842,0.55037,1.15474,0.67698,1.14731,0.008713,0.008713,0.008713
28,1045.04,1.16537,0.73678,1.12439,0.84951,0.7939,0.84842,0.52425,1.18747,0.72398,1.16451,0.0086635,0.0086635,0.0086635
29,1082.08,1.17311,0.74776,1.12661,0.89317,0.8133,0.88049,0.55234,1.14548,0.68306,1.13549,0.008614,0.008614,0.008614
30,1119.04,1.16442,0.73555,1.12498,0.89449,0.81773,0.88174,0.55993,1.12473,0.67474,1.1256,0.0085645,0.0085645,0.0085645
31,1156.54,1.15591,0.72058,1.1204,0.89232,0.8184,0.88854,0.56157,1.15698,0.68597,1.13355,0.008515,0.008515,0.008515
32,1193.84,1.16115,0.72394,1.12566,0.88525,0.83625,0.88901,0.56891,1.1191,0.671,1.12244,0.0084655,0.0084655,0.0084655
33,1231,1.15728,0.72165,1.11997,0.88478,0.81995,0.8813,0.5527,1.15711,0.67252,1.14116,0.008416,0.008416,0.008416
34,1268.08,1.1519,0.70949,1.11828,0.8872,0.83625,0.89227,0.56572,1.1226,0.65327,1.12901,0.0083665,0.0083665,0.0083665
35,1305.07,1.14241,0.70528,1.11077,0.89745,0.83649,0.88866,0.57616,1.13906,0.65178,1.12956,0.008317,0.008317,0.008317
36,1342.63,1.13929,0.70794,1.11512,0.89839,0.8388,0.88957,0.56419,1.1426,0.65131,1.13029,0.0082675,0.0082675,0.0082675
37,1380.2,1.12637,0.69663,1.10121,0.89264,0.83904,0.89668,0.58296,1.11523,0.63178,1.11395,0.008218,0.008218,0.008218
38,1417.59,1.13848,0.69964,1.11381,0.90441,0.83544,0.89478,0.57618,1.12592,0.63754,1.12406,0.0081685,0.0081685,0.0081685
39,1454.82,1.11759,0.68659,1.10841,0.89557,0.8395,0.89289,0.55864,1.18237,0.6588,1.15675,0.008119,0.008119,0.008119
40,1491.78,1.13212,0.69206,1.10627,0.89928,0.8238,0.88418,0.56813,1.1277,0.63517,1.1217,0.0080695,0.0080695,0.0080695
41,1528.03,1.11943,0.67997,1.10082,0.88867,0.84571,0.89807,0.58393,1.12004,0.61678,1.11982,0.00802,0.00802,0.00802
42,1564.02,1.11079,0.68408,1.10126,0.90813,0.84952,0.90408,0.58473,1.10008,0.62115,1.11347,0.0079705,0.0079705,0.0079705
43,1600.16,1.12904,0.68173,1.10459,0.89858,0.84515,0.89584,0.57964,1.1218,0.62249,1.12344,0.007921,0.007921,0.007921
44,1636.22,1.12582,0.67831,1.10604,0.88906,0.84489,0.89452,0.57411,1.11878,0.64114,1.11814,0.0078715,0.0078715,0.0078715
45,1672.25,1.11623,0.66864,1.10112,0.89637,0.8416,0.89411,0.5699,1.12094,0.63268,1.12405,0.007822,0.007822,0.007822
46,1708.48,1.12471,0.67557,1.10043,0.89764,0.84854,0.90179,0.58706,1.11903,0.60946,1.12159,0.0077725,0.0077725,0.0077725
47,1744.53,1.10834,0.66992,1.09995,0.90516,0.84449,0.90108,0.58728,1.1034,0.6144,1.11994,0.007723,0.007723,0.007723
48,1780.64,1.10389,0.65552,1.09277,0.90177,0.84383,0.90137,0.5804,1.10589,0.62156,1.10571,0.0076735,0.0076735,0.0076735
49,1816.82,1.09332,0.65876,1.09575,0.92111,0.85705,0.91131,0.59959,1.08085,0.58707,1.1006,0.007624,0.007624,0.007624
50,1852.83,1.09943,0.65207,1.09048,0.91022,0.86268,0.90657,0.58914,1.09214,0.60261,1.10812,0.0075745,0.0075745,0.0075745
51,1888.91,1.09013,0.65404,1.08922,0.91124,0.85035,0.90874,0.5956,1.10341,0.59288,1.11432,0.007525,0.007525,0.007525
52,1924.97,1.11569,0.65736,1.09544,0.88616,0.8547,0.89881,0.58247,1.09921,0.60853,1.10876,0.0074755,0.0074755,0.0074755
53,1960.86,1.09719,0.64428,1.09,0.90445,0.8614,0.90929,0.59747,1.09989,0.58463,1.10652,0.007426,0.007426,0.007426
54,1996.86,1.0968,0.65422,1.09259,0.90562,0.85545,0.90896,0.59377,1.08323,0.58912,1.09889,0.0073765,0.0073765,0.0073765
55,2033.03,1.08862,0.64519,1.08327,0.91407,0.85244,0.91498,0.59608,1.0897,0.58844,1.09805,0.007327,0.007327,0.007327
56,2068.95,1.08019,0.64468,1.08532,0.92224,0.86098,0.91621,0.60243,1.08478,0.57163,1.09761,0.0072775,0.0072775,0.0072775
57,2105.02,1.08087,0.63705,1.08455,0.90999,0.85789,0.90941,0.59893,1.08636,0.57883,1.10762,0.007228,0.007228,0.007228
58,2141.19,1.08182,0.63478,1.08416,0.91153,0.86914,0.91835,0.59943,1.10168,0.57429,1.11138,0.0071785,0.0071785,0.0071785
59,2177.14,1.08142,0.63127,1.08652,0.90116,0.87017,0.91495,0.60292,1.08763,0.58722,1.10262,0.007129,0.007129,0.007129
60,2213.13,1.07573,0.63092,1.07174,0.91757,0.86986,0.91847,0.60369,1.09389,0.56678,1.10402,0.0070795,0.0070795,0.0070795
61,2249.15,1.07921,0.62949,1.08363,0.89042,0.86677,0.90964,0.59232,1.10754,0.58808,1.10784,0.00703,0.00703,0.00703
62,2285.18,1.07315,0.62894,1.08616,0.90421,0.87306,0.91515,0.60554,1.08466,0.57464,1.0976,0.0069805,0.0069805,0.0069805
63,2321.24,1.07408,0.62914,1.07933,0.91121,0.86306,0.91531,0.6028,1.08938,0.57231,1.10555,0.006931,0.006931,0.006931
64,2357.25,1.06857,0.6303,1.0877,0.91722,0.87968,0.91786,0.60505,1.06979,0.5643,1.08913,0.0068815,0.0068815,0.0068815
65,2393.67,1.07121,0.62725,1.08043,0.91893,0.87033,0.91987,0.60924,1.07118,0.55899,1.08779,0.006832,0.006832,0.006832
66,2429.87,1.06248,0.61276,1.06932,0.91844,0.8785,0.92294,0.61137,1.08421,0.55879,1.09361,0.0067825,0.0067825,0.0067825
67,2465.93,1.05888,0.61707,1.07303,0.91837,0.86763,0.91716,0.60839,1.08113,0.56135,1.09345,0.006733,0.006733,0.006733
68,2501.93,1.04843,0.60936,1.06472,0.91635,0.87776,0.92171,0.61269,1.06913,0.56257,1.09056,0.0066835,0.0066835,0.0066835
69,2538.09,1.05184,0.61071,1.07263,0.91652,0.86189,0.91948,0.60857,1.07746,0.56594,1.09188,0.006634,0.006634,0.006634
70,2574.15,1.05243,0.61198,1.06982,0.92108,0.87285,0.92234,0.61719,1.05823,0.55415,1.08288,0.0065845,0.0065845,0.0065845
71,2610.01,1.05043,0.6077,1.06954,0.90857,0.87582,0.91922,0.60828,1.07169,0.55982,1.09086,0.006535,0.006535,0.006535
72,2645.95,1.0525,0.60549,1.06622,0.91781,0.8693,0.92611,0.62095,1.06371,0.55063,1.09433,0.0064855,0.0064855,0.0064855
73,2683.03,1.04219,0.60159,1.06826,0.90385,0.87781,0.92002,0.61492,1.06164,0.55103,1.08626,0.006436,0.006436,0.006436
74,2720.13,1.03345,0.60242,1.05886,0.92059,0.88401,0.92601,0.61697,1.05659,0.54335,1.08699,0.0063865,0.0063865,0.0063865
75,2757.21,1.0504,0.60354,1.06108,0.91623,0.8806,0.92975,0.61795,1.06645,0.5411,1.08686,0.006337,0.006337,0.006337
76,2794.13,1.04187,0.59651,1.06439,0.91935,0.87462,0.92814,0.61251,1.07296,0.54731,1.0905,0.0062875,0.0062875,0.0062875
77,2831.27,1.0305,0.59408,1.05939,0.91374,0.88874,0.92368,0.61821,1.05953,0.54704,1.08529,0.006238,0.006238,0.006238
78,2868.24,1.03827,0.591,1.06247,0.92148,0.88084,0.92535,0.62017,1.05517,0.5341,1.07914,0.0061885,0.0061885,0.0061885
79,2905.46,1.04295,0.59929,1.06108,0.92858,0.86562,0.92369,0.61649,1.06289,0.55139,1.08743,0.006139,0.006139,0.006139
80,2942.45,1.04034,0.59748,1.06389,0.91488,0.8855,0.92661,0.62302,1.05898,0.54111,1.0857,0.0060895,0.0060895,0.0060895
81,2979.59,1.03401,0.58984,1.06266,0.91712,0.88739,0.92539,0.61621,1.06163,0.54415,1.08465,0.00604,0.00604,0.00604
82,3017.23,1.03103,0.5863,1.05866,0.93357,0.87357,0.93036,0.62267,1.05914,0.53389,1.08416,0.0059905,0.0059905,0.0059905
83,3054.39,1.04588,0.58942,1.06274,0.92287,0.88628,0.92915,0.62136,1.05587,0.53979,1.08297,0.005941,0.005941,0.005941
84,3091.34,1.04114,0.59238,1.06142,0.92385,0.87056,0.92546,0.61943,1.05096,0.53722,1.08048,0.0058915,0.0058915,0.0058915
85,3128.61,1.02134,0.57651,1.0547,0.92072,0.87427,0.92204,0.61904,1.05235,0.53557,1.08248,0.005842,0.005842,0.005842
86,3165.92,1.01903,0.58177,1.05499,0.9287,0.87894,0.92897,0.623,1.05554,0.53468,1.08302,0.0057925,0.0057925,0.0057925
87,3203.1,1.02361,0.58309,1.05336,0.92331,0.89113,0.93037,0.63019,1.04056,0.53116,1.07428,0.005743,0.005743,0.005743
88,3240.02,1.02333,0.58115,1.0579,0.92698,0.89165,0.93302,0.62679,1.04497,0.52844,1.07738,0.0056935,0.0056935,0.0056935
89,3277.08,1.02963,0.58983,1.05843,0.9278,0.88566,0.9308,0.62694,1.04308,0.53108,1.07809,0.005644,0.005644,0.005644
90,3314.5,1.01626,0.5811,1.05227,0.91807,0.88588,0.92845,0.62679,1.04725,0.52885,1.07561,0.0055945,0.0055945,0.0055945
91,3351.42,1.02004,0.58283,1.04841,0.92775,0.88891,0.93187,0.62595,1.04691,0.52026,1.07659,0.005545,0.005545,0.005545
92,3388.63,1.01025,0.57116,1.05284,0.92625,0.88957,0.92967,0.63054,1.04476,0.52033,1.07734,0.0054955,0.0054955,0.0054955
93,3425.85,1.00959,0.57505,1.05253,0.92056,0.90039,0.92647,0.62574,1.04337,0.52356,1.07607,0.005446,0.005446,0.005446
94,3463.11,1.01314,0.57435,1.05117,0.92901,0.89313,0.93036,0.62779,1.04625,0.51877,1.07432,0.0053965,0.0053965,0.0053965
95,3500.37,1.01728,0.57489,1.05117,0.93996,0.89073,0.93389,0.62923,1.04044,0.51621,1.07529,0.005347,0.005347,0.005347
96,3537.43,1.00914,0.56546,1.04804,0.94071,0.89504,0.93812,0.63179,1.04037,0.51374,1.07247,0.0052975,0.0052975,0.0052975
97,3574.6,1.00072,0.55949,1.04423,0.92494,0.88905,0.92993,0.62399,1.05588,0.5178,1.07944,0.005248,0.005248,0.005248
98,3611.91,1.00022,0.56303,1.0459,0.92126,0.88804,0.93045,0.62991,1.04804,0.52015,1.07226,0.0051985,0.0051985,0.0051985
99,3648.87,0.98815,0.55831,1.04149,0.92569,0.88848,0.93141,0.63081,1.04775,0.52151,1.07541,0.005149,0.005149,0.005149
100,3685.81,1.00684,0.56946,1.04674,0.92731,0.88717,0.93249,0.62967,1.0467,0.52456,1.07957,0.0050995,0.0050995,0.0050995
101,3722.74,1.00248,0.55863,1.0458,0.92672,0.88826,0.92932,0.62809,1.04496,0.51998,1.07532,0.00505,0.00505,0.00505
102,3760.05,0.98399,0.55157,1.03916,0.93017,0.8917,0.92989,0.63541,1.03391,0.51494,1.07542,0.0050005,0.0050005,0.0050005
103,3797,1.00095,0.56109,1.04992,0.91966,0.89318,0.92573,0.62734,1.04251,0.51632,1.07362,0.004951,0.004951,0.004951
104,3834.2,0.9967,0.55094,1.04228,0.9313,0.89013,0.93156,0.63031,1.04354,0.51182,1.07492,0.0049015,0.0049015,0.0049015
105,3871.15,0.99251,0.5491,1.037,0.93424,0.89395,0.93813,0.62906,1.0412,0.51114,1.07891,0.004852,0.004852,0.004852
106,3908.26,0.9906,0.55113,1.03993,0.93154,0.89484,0.93225,0.63275,1.03659,0.51137,1.07546,0.0048025,0.0048025,0.0048025
107,3945.42,0.98563,0.54364,1.03929,0.92885,0.89552,0.93435,0.63426,1.03617,0.50928,1.07479,0.004753,0.004753,0.004753
108,3982.38,0.98538,0.54467,1.0355,0.93009,0.89692,0.93398,0.63077,1.04078,0.51052,1.07675,0.0047035,0.0047035,0.0047035
109,4019.47,0.97597,0.54296,1.03331,0.93273,0.89582,0.93443,0.63606,1.04411,0.50811,1.07537,0.004654,0.004654,0.004654
110,4056.58,0.98064,0.54092,1.03009,0.93519,0.89529,0.93643,0.63611,1.03749,0.50338,1.0738,0.0046045,0.0046045,0.0046045
111,4093.61,0.97718,0.53577,1.036,0.93048,0.89251,0.92909,0.63827,1.03355,0.50172,1.07097,0.004555,0.004555,0.004555
112,4130.63,0.98287,0.54606,1.03651,0.93887,0.89515,0.93826,0.63477,1.0387,0.50776,1.07206,0.0045055,0.0045055,0.0045055
113,4167.88,0.97651,0.53978,1.0357,0.93889,0.88926,0.93552,0.63389,1.04634,0.50021,1.0755,0.004456,0.004456,0.004456
114,4204.93,0.97887,0.53988,1.03117,0.92806,0.89482,0.93148,0.63641,1.04574,0.50903,1.07689,0.0044065,0.0044065,0.0044065
115,4242.24,0.97142,0.5407,1.03127,0.94091,0.89003,0.93687,0.63638,1.04255,0.50327,1.07857,0.004357,0.004357,0.004357
116,4279.02,0.96348,0.53355,1.02905,0.94048,0.89125,0.93894,0.64061,1.0401,0.5048,1.07387,0.0043075,0.0043075,0.0043075
117,4315.78,0.96927,0.53817,1.02749,0.93531,0.89552,0.93415,0.63698,1.04032,0.50147,1.07056,0.004258,0.004258,0.004258
118,4352.56,0.95721,0.52889,1.03122,0.93834,0.89949,0.93726,0.6388,1.03746,0.49912,1.07233,0.0042085,0.0042085,0.0042085
119,4389.49,0.97571,0.53375,1.03722,0.92646,0.90425,0.93638,0.6384,1.03652,0.4959,1.07313,0.004159,0.004159,0.004159
120,4426.09,0.96294,0.52968,1.02721,0.92737,0.90245,0.93579,0.63863,1.03652,0.49605,1.07254,0.0041095,0.0041095,0.0041095
121,4462.88,0.9628,0.53241,1.02564,0.93012,0.89789,0.93666,0.63615,1.04088,0.49899,1.07484,0.00406,0.00406,0.00406
122,4499.58,0.95425,0.52288,1.02685,0.9345,0.90085,0.93899,0.63751,1.04015,0.50247,1.07588,0.0040105,0.0040105,0.0040105
123,4536.78,0.96158,0.53003,1.02492,0.93112,0.90093,0.93784,0.63975,1.03494,0.49716,1.07417,0.003961,0.003961,0.003961
124,4573.68,0.95153,0.52872,1.02821,0.94373,0.89946,0.94316,0.64128,1.03752,0.4931,1.07186,0.0039115,0.0039115,0.0039115
125,4610.34,0.96441,0.52423,1.02797,0.93848,0.90363,0.94308,0.64176,1.03732,0.49609,1.0722,0.003862,0.003862,0.003862
126,4647.4,0.95085,0.51867,1.02199,0.94216,0.90975,0.94345,0.64183,1.03806,0.49225,1.07101,0.0038125,0.0038125,0.0038125
127,4684.42,0.95668,0.5246,1.02825,0.94224,0.90644,0.94044,0.64099,1.03407,0.49315,1.07141,0.003763,0.003763,0.003763
